strategy,TMR_sum,FD_sum,GHG_sum
268,-173244134.8360779,9720584.401229097,2084755082.9265094
269,-175469032.8593189,9710479.443918398,2082582488.8527255
270,-177673700.50964236,9700462.489760596,2080429673.5579236
271,-179859967.6779961,9690534.000434525,2078295285.7952585
272,-182026511.46294323,9680689.26103644,2076179686.7092323
273,-184175433.95682907,9670930.840947947,2074081652.8467376
274,-46153747.74019946,10297950.6123079,2208872273.2181087
275,-46487443.19318202,10294285.208660074,2208607252.549457
276,-46821138.646164656,10290619.805012245,2208342231.8808055
277,-47154834.09914726,10286954.401364416,2208077211.212155
278,-47488529.552129984,10283288.99771659,2207812190.5435033
279,-47822225.00511252,10279623.594068762,2207547169.8748517
280,-48155920.45809511,10275958.190420937,2207282149.206202
281,-48489615.911077775,10272292.78677311,2207017128.53755
282,-48823311.36406042,10268627.38312528,2206752107.8688993
283,-49157006.81704305,10264961.979477458,2206487087.2002487
284,-49490702.270025626,10261296.57582963,2206222066.531597
285,-49824397.72300828,10257631.172181804,2205957045.862946
286,-50158093.17599089,10253965.768533977,2205692025.194295
287,-50491788.62897355,10250300.36488615,2205427004.525643
288,-50825484.08195616,10246634.961238325,2205161983.8569927
289,-51159179.53493869,10242969.557590498,2204896963.1883416
290,-51492874.98792148,10239304.153942669,2204631942.51969
291,-51826570.44090401,10235638.750294844,2204366921.851039
292,-52160265.89388665,10231973.346647019,2204101901.182389
293,-52493961.34686926,10228307.942999188,2203836880.513737
294,-52827656.79985184,10224642.539351365,2203571859.8450847
295,-53161352.25283449,10220977.135703536,2203306839.176435
296,-53495047.70581712,10217311.732055712,2203041818.507784
297,-53828743.158799745,10213646.328407878,2202776797.839132
298,-54162438.611782335,10209980.924760055,2202511777.1704807
299,-54496134.06476485,10206315.521112228,2202246756.5018296
300,-54829829.51774764,10202650.117464405,2201981735.8331785
301,-55163524.970730245,10198984.713816578,2201716715.1645284
302,-55497220.42371282,10195319.310168745,2201451694.4958763
303,-55830915.8766954,10191653.906520925,2201186673.827225
304,-56164611.329678066,10187988.502873097,2200921653.1585746
305,-56498306.7826607,10184323.099225271,2200656632.4899235
306,-56832002.235643305,10180657.695577443,2200391611.821272
307,-57165697.68862592,10176992.291929612,2200126591.1526203
308,-57499393.14160847,10173326.888281792,2199861570.4839697
309,-57833088.59459116,10169661.48463396,2199596549.8153186
310,-58166784.04757377,10165996.080986137,2199331529.1466675
311,-58500479.5005563,10162330.677338306,2199066508.478016
312,-58834174.95353901,10158665.273690477,2198801487.809365
313,-59167870.40652159,10154999.870042654,2198536467.1407146
314,-59501565.85950422,10151334.466394827,2198271446.4720626
315,-59835261.31248684,10147669.062747002,2198006425.803412
316,-60168956.76546951,10144003.659099175,2197741405.1347604
317,-60502652.21845212,10140338.255451348,2197476384.466109
318,-60836347.67143474,10136672.85180352,2197211363.797458
319,-61170043.12441732,10133007.448155696,2196946343.128807
320,-61503738.57739994,10129342.044507867,2196681322.4601564
321,-61837434.03038257,10125676.640860038,2196416301.791505
